,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,52,XRP,XRP,xrp,1279,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54884241878.0,99987762348.0,False,,6,,,,2024-03-27T13:42:00.000Z,0.6249981037749365,1991644066.8377924,-10.1759,0.61564995,-1.91092874,4.79744585,17.02964517,17.9653688,-2.07532167,34302547100.874958,1.2844,62499810377.49,,2024-03-27T13:42:00.000Z,,,,,,2024-03-27 16:43:02.463121
6,3408,USDC,USDC,usd-coin,17672,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32287299828.043236,32287299828.043236,False,,7,,,,2024-03-27T13:41:00.000Z,0.9997250586287871,9058403434.249958,3.5507,-0.02378615,-0.02416809,-0.02871055,-0.04619695,-0.04028245,-0.04119265,32278422713.55575,1.2094,32278422713.56,,2024-03-27T13:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-27 16:43:02.463121
7,74,Dogecoin,DOGE,dogecoin,939,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143639236383.70526,143639236383.70526,True,,8,,,,2024-03-27T13:42:00.000Z,0.18778282012437392,3219064086.1320295,-1.2715,0.3140192,3.54451221,39.647596,120.92951402,135.92949478,102.01132244,26972980888.64375,1.0106,26972980888.64,,2024-03-27T13:42:00.000Z,,,,,,2024-03-27 16:43:02.463121
8,2010,Cardano,ADA,cardano,1120,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35578756686.931,36742818378.514,False,,9,,,,2024-03-27T13:41:00.000Z,0.6573895156502082,603300733.4557093,-8.5814,0.42758769,-1.60318223,7.9360535,12.23874858,36.29601974,3.60214118,23389101625.858177,0.8757,29582528204.26,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:43:02.463121
9,5805,Avalanche,AVAX,avalanche,695,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377416536.4228908,436106176.4228908,False,,10,,,,2024-03-27T13:41:00.000Z,54.778283350524376,943537710.1767012,6.9099,0.573503,-4.77199454,2.65114038,47.62779957,69.01097503,34.36870297,20674229973.346615,0.7741,39207486137.16,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:43:02.463121
10,5994,Shiba Inu,SHIB,shiba-inu,779,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-03-27T13:41:00.000Z,3.0658945398001634e-05,1776124683.1680987,-21.8621,0.68326168,1.03314113,19.91136862,219.87667101,239.00318846,186.41203342,18066991869.72685,0.6769,18074493368.0,,2024-03-27T13:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-27 16:43:02.463121
11,11419,Toncoin,TON,toncoin,238,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470275400.926201,5104687763.97532,True,,12,3414166606.0,16854751678.66025,,2024-03-27T13:41:00.000Z,4.936710367045354,234755874.95104972,-18.6456,-1.64234395,-2.9564087,19.75875193,134.79346536,137.90624412,123.39216753,17131744548.254847,0.6414,25200365004.95,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:43:02.463121
12,6636,Polkadot,DOT,polkadot-new,725,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1426482618.4027038,1426482618.4027038,True,,13,,,,2024-03-27T13:42:00.000Z,9.683202622422495,374714994.429826,13.9077,1.27018467,-1.35277221,5.78209934,25.75121194,45.78772139,13.62723596,13812920231.357168,0.5157,13812920231.36,,2024-03-27T13:42:00.000Z,,,,,,2024-03-27 16:43:02.463121
13,1975,Chainlink,LINK,chainlink,1704,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-27T13:41:00.000Z,19.695979870329868,480726670.8259902,-13.0762,0.07254438,-2.3684794,12.48131304,7.30655115,38.31268396,16.76716636,11563509199.909348,0.433,19695979870.33,,2024-03-27T13:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-27 16:43:02.463121
14,1958,TRON,TRX,tron,959,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87762650894.33229,87762752443.28235,True,,15,71659659264.0,8664845882.051502,,2024-03-27T13:41:00.000Z,0.12091664921444166,313873929.7556482,-19.0818,0.34869365,-0.71284858,3.26279201,-12.72721747,6.62215697,13.95475363,10611965672.319483,0.3962,10611977951.28,,2024-03-27T13:41:00.000Z,,,,,,2024-03-27 16:43:02.463121
